DEPTH (FT)	CALI (IN)	GR (GAPI)	NPHISS	RHOB (G/C3)	RILD (OHMM)	SP (MV)	RFOC (OHMM)
10000	10.307	100.112	0.467	2.277	0.606	-4.299	0.632
10000.25	10.313	100.662	0.465	2.277	0.603	-4.414	0.634
10000.5	10.321	101.039	0.463	2.277	0.599	-4.436	0.636
10000.75	10.328	101.283	0.462	2.277	0.596	-4.371	0.636
10001	10.334	101.553	0.462	2.277	0.593	-4.254	0.632
10001.25	10.338	101.988	0.461	2.277	0.591	-4.136	0.627
10001.5	10.34	102.598	0.46	2.277	0.589	-4.05	0.621
10001.75	10.34	103.171	0.458	2.276	0.588	-4.005	0.616
10002	10.341	103.429	0.457	2.276	0.589	-3.989	0.613
10002.25	10.341	103.2	0.456	2.276	0.59	-4.007	0.613
10002.5	10.343	102.442	0.455	2.276	0.591	-4.095	0.615
10002.75	10.345	101.225	0.455	2.277	0.594	-4.314	0.622
10003	10.35	99.649	0.454	2.278	0.598	-4.703	0.634
10003.25	10.359	97.854	0.452	2.28	0.601	-5.248	0.652
10003.5	10.37	96.08	0.45	2.282	0.605	-5.875	0.674
10003.75	10.387	94.576	0.446	2.285	0.608	-6.455	0.697
10004	10.409	93.585	0.442	2.288	0.611	-6.849	0.717
10004.25	10.436	93.24	0.439	2.29	0.614	-6.958	0.729
10004.5	10.469	93.411	0.436	2.293	0.618	-6.765	0.729
10004.75	10.503	93.835	0.436	2.294	0.621	-6.331	0.719
10005	10.536	94.364	0.437	2.296	0.625	-5.756	0.703
10005.25	10.563	94.94	0.44	2.295	0.629	-5.139	0.685
10005.5	10.582	95.609	0.444	2.295	0.632	-4.553	0.67
10005.75	10.593	96.436	0.448	2.293	0.635	-4.045	0.659
10006	10.599	97.324	0.451	2.291	0.636	-3.636	0.652
10006.25	10.602	98.069	0.453	2.288	0.637	-3.32	0.65
10006.5	10.604	98.611	0.453	2.285	0.637	-3.08	0.652
10006.75	10.606	98.963	0.452	2.282	0.636	-2.905	0.656
10007	10.609	99.202	0.45	2.279	0.636	-2.776	0.661
10007.25	10.612	99.449	0.448	2.276	0.636	-2.675	0.667
10007.5	10.616	99.734	0.447	2.274	0.636	-2.586	0.672
10007.75	10.619	99.908	0.447	2.272	0.637	-2.498	0.676
10008	10.62	99.943	0.448	2.27	0.639	-2.407	0.679
10008.25	10.619	99.863	0.451	2.269	0.64	-2.316	0.682
10008.5	10.616	99.602	0.454	2.268	0.642	-2.23	0.684
10008.75	10.611	99.225	0.457	2.268	0.643	-2.154	0.686
10009	10.607	98.827	0.458	2.268	0.645	-2.091	0.687
10009.25	10.604	98.434	0.459	2.268	0.647	-2.04	0.688
10009.5	10.603	98.197	0.46	2.268	0.649	-1.996	0.688
10009.75	10.603	98.291	0.46	2.268	0.651	-1.955	0.688
10010	10.603	98.8	0.46	2.269	0.653	-1.918	0.688
10010.25	10.603	99.658	0.458	2.27	0.655	-1.886	0.689
10010.5	10.603	100.55	0.458	2.27	0.658	-1.863	0.69
10010.75	10.605	101.07	0.457	2.271	0.66	-1.85	0.692
10011	10.609	100.928	0.457	2.272	0.662	-1.851	0.695
10011.25	10.614	100.206	0.456	2.273	0.663	-1.871	0.698
10011.5	10.62	99.22	0.454	2.275	0.665	-1.914	0.702
10011.75	10.626	98.314	0.452	2.276	0.666	-1.979	0.706
10012	10.631	97.741	0.449	2.278	0.667	-2.06	0.71
10012.25	10.636	97.495	0.447	2.28	0.668	-2.138	0.714
10012.5	10.639	97.442	0.444	2.282	0.669	-2.196	0.718
10012.75	10.641	97.513	0.441	2.284	0.67	-2.224	0.722
10013	10.642	97.831	0.439	2.286	0.671	-2.233	0.724
10013.25	10.643	98.559	0.438	2.287	0.671	-2.238	0.725
10013.5	10.643	99.725	0.438	2.289	0.671	-2.253	0.724
10013.75	10.644	101.145	0.44	2.29	0.671	-2.286	0.721
10014	10.644	102.472	0.443	2.291	0.671	-2.339	0.716
10014.25	10.645	103.353	0.446	2.291	0.67	-2.408	0.711
10014.5	10.646	103.748	0.449	2.291	0.668	-2.487	0.705
10014.75	10.647	103.844	0.451	2.29	0.667	-2.568	0.7
10015	10.647	103.934	0.451	2.29	0.666	-2.639	0.695
10015.25	10.648	104.201	0.451	2.29	0.665	-2.688	0.692
10015.5	10.649	104.651	0.449	2.289	0.664	-2.711	0.691
10015.75	10.651	105.056	0.445	2.29	0.663	-2.711	0.691
10016	10.655	105.197	0.441	2.29	0.663	-2.703	0.694
10016.25	10.656	105.006	0.436	2.291	0.663	-2.702	0.697
10016.5	10.65	104.521	0.431	2.293	0.662	-2.718	0.7
10016.75	10.632	104.022	0.428	2.295	0.662	-2.743	0.702
10017	10.604	103.792	0.427	2.297	0.662	-2.755	0.703
10017.25	10.569	103.85	0.428	2.3	0.663	-2.73	0.705
10017.5	10.535	104.027	0.429	2.302	0.664	-2.656	0.707
10017.75	10.509	104.059	0.43	2.305	0.665	-2.537	0.71
10018	10.496	103.635	0.432	2.308	0.666	-2.391	0.713
